n,seconds
1146,0.0007782
1147,0.0007619
1148,0.0007637
1149,0.0007552
1150,0.0007796
1151,0.0008442
1152,0.0008752
1153,0.0008052
1154,0.0007686
1155,0.0007856
1156,0.0007902
1157,0.0007802
1158,0.0007822
1159,0.0007785
1160,0.0007891
1161,0.0007906
1162,0.0008134
1163,0.0007854
1164,0.0007975
1165,0.000824
1166,0.0008021
1167,0.0008022
1168,0.0008535
1169,0.000892
1170,0.0008294
1171,0.0008047
1172,0.0007915
1173,0.0007945
1174,0.0007988
1175,0.000803
1176,0.0007833
1177,0.000804
1178,0.000791
1179,0.0008433
1180,0.000807
1181,0.000801
1182,0.0008082
1183,0.0008654
1184,0.0008722
1185,0.0011371
1186,0.0009047
1187,0.0008174
1188,0.0008526
1189,0.0008108
1190,0.0008291
1191,0.0008444
1192,0.0008212
1193,0.000787
1194,0.0008125
1195,0.0008112
1196,0.0008552
1197,0.0008249
1198,0.0008223
1199,0.0008289
1200,0.0008409
1201,0.0009712
1202,0.0008298
1203,0.0008042
1204,0.0008396
1205,0.0008522
1206,0.0008343
1207,0.0008328
1208,0.0008154
1209,0.0008123
1210,0.000863
1211,0.0008161
1212,0.0008218
1213,0.0008223
1214,0.0008238
1215,0.000839
1216,0.0008145
1217,0.0008695
1218,0.0008448
1219,0.0008275
1220,0.0008528
1221,0.0008543
1222,0.0008183
1223,0.0008123
1224,0.0008497
1225,0.0008494
1226,0.0008343
1227,0.0008225
1228,0.000849
1229,0.0008319
1230,0.0008352
1231,0.0008295
1232,0.0008544
1233,0.0009239
1234,0.0009002
1235,0.0008634
1236,0.0008756
1237,0.0008582
1238,0.0008732
1239,0.0008776
1240,0.0008574
1241,0.0009033
1242,0.0008753
1243,0.0008439
1244,0.0008582
1245,0.0008624
1246,0.0008526
1247,0.0008737
1248,0.0008692
1249,0.0008739
1250,0.0009032
1251,0.000863
1252,0.0009028
1253,0.0008586
1254,0.0008856
1255,0.0012384
1256,0.0008952
1257,0.0008631
1258,0.0008454
1259,0.000855
1260,0.000841
1261,0.0008588
1262,0.0008841
1263,0.0008702
1264,0.0008607
1265,0.000921
1266,0.0008746
1267,0.0008675
1268,0.0008802
1269,0.0008715
1270,0.0008813
1271,0.0008753
1272,0.0008592
1273,0.0008705
1274,0.0008634
1275,0.0008651
1276,0.0008386
1277,0.0008625
1278,0.000898
1279,0.0008679
1280,0.0008993
1281,0.0009185
1282,0.0009584
1283,0.0009265
1284,0.0009175
1285,0.0009106
1286,0.000896
1287,0.0009098
1288,0.0008721
1289,0.0008685
1290,0.000904
1291,0.0008977
1292,0.0008994
1293,0.0008873
1294,0.0009108
1295,0.0009465
1296,0.0011705
1297,0.0012211
1298,0.0009146
1299,0.0009069
1300,0.0009067
1301,0.0009213
1302,0.0009141
1303,0.0008932
1304,0.0009354
1305,0.0009219
1306,0.0008924
1307,0.0009019
1308,0.0009236
1309,0.0008668
1310,0.0009675
1311,0.000973
1312,0.0012221
1313,0.0009503
1314,0.0009366
1315,0.0009074
1316,0.0009136
1317,0.0008999
1318,0.0008869
1319,0.0008835
1320,0.0009287
1321,0.0009369
1322,0.00094
1323,0.0009181
1324,0.0009653
1325,0.0012792
1326,0.0012398
1327,0.0012231
1328,0.0012361
1329,0.0012555
1330,0.0012123
1331,0.0011846
1332,0.0012434
1333,0.0012304
1334,0.0011975
1335,0.0012185
1336,0.0011529
1337,0.0009935
1338,0.0011241
1339,0.0009021
1340,0.0008913
1341,0.0008901
1342,0.0009198
1343,0.0008977
1344,0.0009266
1345,0.0009299
1346,0.0009309
